title,overview,genres,poster_path,vote_average,genres_cleaned
Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",['Horror'],/6X4qFYBsG3bpWDG2XIKqr04kFJa.jpg,7.917,[]
Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.","['Horror', 'Mystery']",/1q308iixueCU4pFtSYugNOevtNx.jpg,8.062,[]
Kara,"A thief tries to go straight, but when predatory banks trap his father in debt, he returns to crime — with a determined cop closing in on his trail.","['Crime', 'Drama', 'Thriller']",/uIrFdMWlJFdc1jPBP9bxeaISCDj.jpg,5.786,[]
Tom Clancy's Jack Ryan: Ghost War,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.","['Action', 'Thriller']",/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg,7.134,[]
Backrooms,A strange doorway appears in the basement of a furniture showroom.,"['Horror', 'Mystery', 'Science Fiction']",/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,6.7,[]
The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.","['Action', 'Drama', 'Crime']",/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,8.4,[]
Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.","['Science Fiction', 'Adventure']",/yihdXomYb5kTeSivtFndMy5iDmf.jpg,8.7,[]
The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.","['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,8.105,[]
The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","['Action', 'Science Fiction']",/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg,8.2,[]
Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.","['Action', 'Crime', 'Thriller']",/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,7.3,[]
Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.","['Adventure', 'Animation', 'Family', 'Fantasy']",/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,8.973,[]
Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.","['Romance', 'Drama']",/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,6.801,[]
Door II: Tokyo Diary,Ai is a call girl that makes good money for what she does but there’s always at risk no matter how good the money is.,"['Thriller', 'Drama']",/lskJ34j4VKwbMwcvFSQeNYEdt8g.jpg,6.071,[]
Kattalan,"Power-hungry forces clash in the Ivory cartel war-a fierce story of control, vengeance, and survival where compassion vanishes and only the ruthless endure.","['Action', 'Thriller']",/slHheGTTGFXBCt6l0lQFSj7gNUh.jpg,6.0,[]
Chand Mera Dil,"Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love.","['Romance', 'Drama']",/9LPkXJustudEBgPZEm9tgDx5KtC.jpg,3.833,[]
Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.","['Action', 'Fantasy', 'Adventure']",/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,6.74,[]
